trace file for the simulation
format of the file
<event> <time> <item id> <server status> <queue size><server id>

a	219.084	69	1	4	2
a	221.372	70	1	5	2
d	221.378	64	1	6	2
s	221.378	65	1	5	2
d	222.742	65	1	5	2
s	222.742	66	1	4	2
a	222.916	71	1	4	2
d	223.212	66	1	5	2
s	223.212	67	1	4	2
a	223.479	72	1	4	2
a	224.461	73	1	5	2
d	224.623	67	1	6	2
s	224.623	68	1	5	2
a	226.17	74	1	5	2
d	227.565	68	1	6	2
s	227.565	69	1	5	2
d	228.477	69	1	5	2
s	228.477	70	1	4	2
d	230.242	70	1	4	2
s	230.242	71	1	3	2
d	230.541	71	1	3	2
s	230.541	72	1	2	2
a	231.244	75	1	2	2
d	234.787	72	1	3	2
s	234.787	73	1	2	2
a	236.243	76	1	2	2
d	236.296	73	1	3	2
s	236.296	74	1	2	2
a	237.319	77	1	2	2
d	237.906	74	1	3	2
s	237.906	75	1	2	2
d	240.019	75	1	2	2
s	240.019	76	1	1	2
a	240.457	78	1	1	2
a	241.358	79	1	2	2
a	242.831	80	1	3	2
a	244.263	81	1	4	2
a	245.371	82	1	5	2
a	246.024	83	1	6	2
d	247.582	76	1	7	2
s	247.582	77	1	6	2
d	249.237	77	1	6	2
s	249.237	78	1	5	2
d	249.662	78	1	5	2
s	249.662	79	1	4	2
d	249.94	79	1	4	2
s	249.94	80	1	3	2
d	251.4	80	1	3	2
s	251.4	81	1	2	2
a	251.733	84	1	2	2
d	252.354	81	1	3	2
s	252.354	82	1	2	2
d	253.565	82	1	2	2
s	253.565	83	1	1	2
d	253.636	83	1	1	2
s	253.636	84	1	0	2
d	257.102	84	0	0	2
a	261.158	85	0	0	2
s	261.158	85	1	0	2
a	262.848	86	1	0	2
d	264.712	85	1	1	2
s	264.712	86	1	0	2
a	268.096	87	1	0	2
a	268.517	88	1	1	2
a	269	89	1	2	2
a	269.886	90	1	3	2
d	271.373	86	1	4	2
s	271.373	87	1	3	2
d	274.727	87	1	3	2
s	274.727	88	1	2	2
a	275.481	91	1	2	2
d	282.329	88	1	3	2
s	282.329	89	1	2	2
a	283.188	92	1	2	2
d	283.663	89	1	3	2
s	283.663	90	1	2	2
a	283.784	93	1	2	2
d	285.484	90	1	3	2
s	285.484	91	1	2	2
a	286.191	94	1	2	2
d	288.166	91	1	3	2
s	288.166	92	1	2	2
a	289.815	95	1	2	2
d	290.46	92	1	3	2
s	290.46	93	1	2	2
a	291.888	96	1	2	2
a	295.278	97	1	3	2
d	296.098	93	1	4	2
s	296.098	94	1	3	2
a	296.189	98	1	3	2
a	296.76	99	1	4	2
a	296.885	100	1	5	2
d	299.575	94	1	6	2
s	299.575	95	1	5	2
d	300.539	95	1	5	2
s	300.539	96	1	4	2
d	304.151	96	1	4	2
s	304.151	97	1	3	2
d	304.324	97	1	3	2
s	304.324	98	1	2	2
d	310.509	98	1	2	2
s	310.509	99	1	1	2
d	318.675	99	1	1	2
s	318.675	100	1	0	2
d	319.401	100	0	0	2


Average Queueing Delay for Server 2 : 17.3831
Avarage System Delay : 117.542
